,Mes,data science,machine learning,deep learning
0,2004-01-01,12,18,4
1,2004-02-01,12,21,2
2,2004-03-01,9,21,2
3,2004-04-01,10,16,4
4,2004-05-01,7,14,3
5,2004-06-01,9,17,3
6,2004-07-01,9,16,3
7,2004-08-01,7,14,3
8,2004-09-01,10,17,4
9,2004-10-01,8,17,4
10,2004-11-01,8,15,2
11,2004-12-01,8,16,2
12,2005-01-01,10,16,2
13,2005-02-01,9,14,3
14,2005-03-01,8,13,2
15,2005-04-01,8,12,3
16,2005-05-01,8,15,3
17,2005-06-01,8,12,3
18,2005-07-01,6,11,2
19,2005-08-01,9,10,2
20,2005-09-01,7,14,2
21,2005-10-01,7,16,3
22,2005-11-01,7,13,4
23,2005-12-01,5,13,2
24,2006-01-01,7,12,3
25,2006-02-01,7,12,3
26,2006-03-01,7,12,2
27,2006-04-01,7,12,2
28,2006-05-01,7,11,2
29,2006-06-01,6,10,2
30,2006-07-01,5,9,1
31,2006-08-01,6,9,2
32,2006-09-01,7,11,1
33,2006-10-01,6,11,2
34,2006-11-01,7,11,2
35,2006-12-01,4,9,3
36,2007-01-01,6,11,2
37,2007-02-01,7,11,3
38,2007-03-01,6,9,3
39,2007-04-01,5,10,3
40,2007-05-01,6,9,1
41,2007-06-01,6,9,2
42,2007-07-01,4,9,2
43,2007-08-01,5,9,3
44,2007-09-01,6,9,2
45,2007-10-01,6,11,2
46,2007-11-01,6,10,2
47,2007-12-01,5,8,3
48,2008-01-01,6,9,2
49,2008-02-01,6,9,2
50,2008-03-01,5,8,3
51,2008-04-01,6,10,2
52,2008-05-01,5,9,2
53,2008-06-01,5,8,2
54,2008-07-01,5,7,3
55,2008-08-01,5,7,1
56,2008-09-01,6,9,2
57,2008-10-01,6,10,2
58,2008-11-01,6,9,2
59,2008-12-01,5,8,2
60,2009-01-01,6,8,3
61,2009-02-01,6,9,3
62,2009-03-01,6,8,2
63,2009-04-01,6,9,3
64,2009-05-01,5,8,2
65,2009-06-01,5,8,2
66,2009-07-01,4,8,2
67,2009-08-01,5,8,2
68,2009-09-01,7,8,3
69,2009-10-01,6,9,2
70,2009-11-01,7,9,2
71,2009-12-01,6,8,2
72,2010-01-01,7,8,2
73,2010-02-01,7,9,2
